dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
CMJ,local_gaussian,rocket-shap,resnet,70,0.3407821229050279
CMJ,local_gaussian,rocket-shap,resnet,80,0.33519553072625696
CMJ,local_gaussian,rocket-shap,resnet,90,0.33519553072625696
CMJ,local_gaussian,rocket-shap,resnet,100,0.33519553072625696
CMJ,local_mean,rocket-shap,knn,0,0.9217877094972067
CMJ,local_mean,rocket-shap,knn,10,0.776536312849162
CMJ,local_mean,rocket-shap,knn,20,0.6927374301675978
CMJ,local_mean,rocket-shap,knn,30,0.6312849162011173
CMJ,local_mean,rocket-shap,knn,40,0.5083798882681564
CMJ,local_mean,rocket-shap,knn,50,0.5195530726256983
CMJ,local_mean,rocket-shap,knn,60,0.5027932960893855
CMJ,local_mean,rocket-shap,knn,70,0.4972067039106145
CMJ,local_mean,rocket-shap,knn,80,0.48044692737430167
CMJ,local_mean,rocket-shap,knn,90,0.3687150837988827
CMJ,local_mean,rocket-shap,knn,100,0.329608938547486
CMJ,global_mean,rocket-shap,knn,0,0.9217877094972067
CMJ,global_mean,rocket-shap,knn,10,0.776536312849162
CMJ,global_mean,rocket-shap,knn,20,0.6703910614525139
CMJ,global_mean,rocket-shap,knn,30,0.6759776536312849
CMJ,global_mean,rocket-shap,knn,40,0.6536312849162011
CMJ,global_mean,rocket-shap,knn,50,0.553072625698324
CMJ,global_mean,rocket-shap,knn,60,0.5363128491620112
CMJ,global_mean,rocket-shap,knn,70,0.5083798882681564
CMJ,global_mean,rocket-shap,knn,80,0.4860335195530726
CMJ,global_mean,rocket-shap,knn,90,0.4581005586592179
CMJ,global_mean,rocket-shap,knn,100,0.33519553072625696
CMJ,global_gaussian,rocket-shap,knn,0,0.9217877094972067
CMJ,global_gaussian,rocket-shap,knn,10,0.776536312849162
CMJ,global_gaussian,rocket-shap,knn,20,0.6927374301675978
CMJ,global_gaussian,rocket-shap,knn,30,0.6703910614525139
CMJ,global_gaussian,rocket-shap,knn,40,0.6145251396648045
CMJ,global_gaussian,rocket-shap,knn,50,0.5698324022346368
CMJ,global_gaussian,rocket-shap,knn,60,0.5754189944134078
CMJ,global_gaussian,rocket-shap,knn,70,0.4860335195530726
CMJ,global_gaussian,rocket-shap,knn,80,0.4860335195530726
CMJ,global_gaussian,rocket-shap,knn,90,0.48044692737430167
CMJ,global_gaussian,rocket-shap,knn,100,0.4134078212290503
CMJ,local_gaussian,rocket-shap,knn,0,0.9217877094972067
CMJ,local_gaussian,rocket-shap,knn,10,0.7877094972067039
CMJ,local_gaussian,rocket-shap,knn,20,0.6983240223463687
CMJ,local_gaussian,rocket-shap,knn,30,0.5865921787709497
CMJ,local_gaussian,rocket-shap,knn,40,0.5083798882681564
CMJ,local_gaussian,rocket-shap,knn,50,0.49162011173184356
CMJ,local_gaussian,rocket-shap,knn,60,0.46368715083798884
CMJ,local_gaussian,rocket-shap,knn,70,0.4301675977653631
CMJ,local_gaussian,rocket-shap,knn,80,0.41899441340782123
CMJ,local_gaussian,rocket-shap,knn,90,0.4022346368715084
CMJ,local_gaussian,rocket-shap,knn,100,0.33519553072625696
CMJ,local_mean,rocket-shap,MrSEQLClassifier,0,0.9608938547486033
CMJ,local_mean,rocket-shap,MrSEQLClassifier,10,0.776536312849162
CMJ,local_mean,rocket-shap,MrSEQLClassifier,20,0.5810055865921788
CMJ,local_mean,rocket-shap,MrSEQLClassifier,30,0.41899441340782123
CMJ,local_mean,rocket-shap,MrSEQLClassifier,40,0.329608938547486
CMJ,local_mean,rocket-shap,MrSEQLClassifier,50,0.29608938547486036
CMJ,local_mean,rocket-shap,MrSEQLClassifier,60,0.31843575418994413
CMJ,local_mean,rocket-shap,MrSEQLClassifier,70,0.33519553072625696
