dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
SmallMiddle_CAR,local_mean,GT,rocket,0,1.0
SmallMiddle_CAR,local_mean,GT,rocket,10,0.58
SmallMiddle_CAR,local_mean,GT,rocket,20,0.58
SmallMiddle_CAR,local_mean,GT,rocket,30,0.58
SmallMiddle_CAR,local_mean,GT,rocket,40,0.58
SmallMiddle_CAR,local_mean,GT,rocket,50,0.58
SmallMiddle_CAR,local_mean,GT,rocket,60,0.58
SmallMiddle_CAR,local_mean,GT,rocket,70,0.58
SmallMiddle_CAR,local_mean,GT,rocket,80,0.58
SmallMiddle_CAR,local_mean,GT,rocket,90,0.58
SmallMiddle_CAR,local_mean,GT,rocket,100,0.58
SmallMiddle_CAR,global_mean,GT,rocket,0,1.0
SmallMiddle_CAR,global_mean,GT,rocket,10,0.46
SmallMiddle_CAR,global_mean,GT,rocket,20,0.46
SmallMiddle_CAR,global_mean,GT,rocket,30,0.42
SmallMiddle_CAR,global_mean,GT,rocket,40,0.42
SmallMiddle_CAR,global_mean,GT,rocket,50,0.42
SmallMiddle_CAR,global_mean,GT,rocket,60,0.42
SmallMiddle_CAR,global_mean,GT,rocket,70,0.42
SmallMiddle_CAR,global_mean,GT,rocket,80,0.42
SmallMiddle_CAR,global_mean,GT,rocket,90,0.42
SmallMiddle_CAR,global_mean,GT,rocket,100,0.42
SmallMiddle_CAR,global_gaussian,GT,rocket,0,1.0
SmallMiddle_CAR,global_gaussian,GT,rocket,10,0.48
SmallMiddle_CAR,global_gaussian,GT,rocket,20,0.48
SmallMiddle_CAR,global_gaussian,GT,rocket,30,0.48
SmallMiddle_CAR,global_gaussian,GT,rocket,40,0.48
SmallMiddle_CAR,global_gaussian,GT,rocket,50,0.48
SmallMiddle_CAR,global_gaussian,GT,rocket,60,0.48
SmallMiddle_CAR,global_gaussian,GT,rocket,70,0.48
SmallMiddle_CAR,global_gaussian,GT,rocket,80,0.48
SmallMiddle_CAR,global_gaussian,GT,rocket,90,0.48
SmallMiddle_CAR,global_gaussian,GT,rocket,100,0.48
SmallMiddle_CAR,local_gaussian,GT,rocket,0,1.0
SmallMiddle_CAR,local_gaussian,GT,rocket,10,0.49
SmallMiddle_CAR,local_gaussian,GT,rocket,20,0.49
SmallMiddle_CAR,local_gaussian,GT,rocket,30,0.47
SmallMiddle_CAR,local_gaussian,GT,rocket,40,0.47
SmallMiddle_CAR,local_gaussian,GT,rocket,50,0.47
SmallMiddle_CAR,local_gaussian,GT,rocket,60,0.47
SmallMiddle_CAR,local_gaussian,GT,rocket,70,0.47
SmallMiddle_CAR,local_gaussian,GT,rocket,80,0.47
SmallMiddle_CAR,local_gaussian,GT,rocket,90,0.47
SmallMiddle_CAR,local_gaussian,GT,rocket,100,0.47
SmallMiddle_CAR,local_mean,GT,resnet,0,1.0
SmallMiddle_CAR,local_mean,GT,resnet,10,0.42
SmallMiddle_CAR,local_mean,GT,resnet,20,0.42
SmallMiddle_CAR,local_mean,GT,resnet,30,0.42
SmallMiddle_CAR,local_mean,GT,resnet,40,0.42
SmallMiddle_CAR,local_mean,GT,resnet,50,0.42
SmallMiddle_CAR,local_mean,GT,resnet,60,0.42
SmallMiddle_CAR,local_mean,GT,resnet,70,0.42
SmallMiddle_CAR,local_mean,GT,resnet,80,0.42
SmallMiddle_CAR,local_mean,GT,resnet,90,0.42
