dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
CMJ,global_mean,lime_mrseql,rocket,0.47011173184357535
CMJ,global_mean,mrseql,rocket,0.5986033519553072
CMJ,global_mean,cam,rocket,0.6393854748603351
CMJ,global_mean,GS,rocket,0.7069832402234637
CMJ,global_mean,IG,rocket,0.720391061452514
CMJ,global_mean,random2020,rocket,0.638268156424581
CMJ,local_mean,lime_mrseql,rocket,0.45391061452513964
CMJ,local_mean,mrseql,rocket,0.5019553072625699
CMJ,local_mean,cam,rocket,0.6974860335195531
CMJ,local_mean,GS,rocket,0.6963687150837989
CMJ,local_mean,IG,rocket,0.7081005586592181
CMJ,local_mean,random2020,rocket,0.6589385474860334
CMJ,global_mean,lime_mrseql,resnet,0.48575418994413405
CMJ,global_mean,mrseql,resnet,0.47849162011173185
CMJ,global_mean,cam,resnet,0.5594972067039106
CMJ,global_mean,GS,resnet,0.5164804469273743
CMJ,global_mean,IG,resnet,0.5326815642458101
CMJ,global_mean,random2020,resnet,0.4801675977653631
CMJ,local_mean,lime_mrseql,resnet,0.5393854748603353
CMJ,local_mean,mrseql,resnet,0.5427374301675978
CMJ,local_mean,cam,resnet,0.6041899441340783
CMJ,local_mean,GS,resnet,0.6030726256983242
CMJ,local_mean,IG,resnet,0.6304469273743019
CMJ,local_mean,random2020,resnet,0.503631284916201
CMJ,global_mean,lime_mrseql,knn,0.5410614525139664
CMJ,global_mean,mrseql,knn,0.6142458100558659
CMJ,global_mean,cam,knn,0.6840782122905029
CMJ,global_mean,GS,knn,0.6790502793296088
CMJ,global_mean,IG,knn,0.6270949720670391
CMJ,global_mean,random2020,knn,0.738268156424581
CMJ,local_mean,lime_mrseql,knn,0.5564245810055866
CMJ,local_mean,mrseql,knn,0.553072625698324
CMJ,local_mean,cam,knn,0.6391061452513966
CMJ,local_mean,GS,knn,0.6642458100558659
CMJ,local_mean,IG,knn,0.6642458100558659
CMJ,local_mean,random2020,knn,0.6893854748603352
CMJ,global_mean,lime_mrseql,MrSEQLClassifier,0.30027932960893855
CMJ,global_mean,mrseql,MrSEQLClassifier,0.3589385474860335
CMJ,global_mean,cam,MrSEQLClassifier,0.4818435754189945
CMJ,global_mean,GS,MrSEQLClassifier,0.5086592178770949
CMJ,global_mean,IG,MrSEQLClassifier,0.4891061452513967
CMJ,global_mean,random2020,MrSEQLClassifier,0.7131284916201118
CMJ,local_mean,lime_mrseql,MrSEQLClassifier,0.4019553072625698
CMJ,local_mean,mrseql,MrSEQLClassifier,0.4416201117318436
CMJ,local_mean,cam,MrSEQLClassifier,0.5773743016759777
CMJ,local_mean,GS,MrSEQLClassifier,0.5863128491620112
CMJ,local_mean,IG,MrSEQLClassifier,0.5857541899441341
CMJ,local_mean,random2020,MrSEQLClassifier,0.756145251396648
