dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Coffee,global_mean,lime_mrseql,rocket,0,1.0
Coffee,global_mean,lime_mrseql,rocket,10,0.4642857142857143
Coffee,global_mean,lime_mrseql,rocket,20,0.4642857142857143
Coffee,global_mean,lime_mrseql,rocket,30,0.4642857142857143
Coffee,global_mean,lime_mrseql,rocket,40,0.4642857142857143
Coffee,global_mean,lime_mrseql,rocket,50,0.4642857142857143
Coffee,global_mean,lime_mrseql,rocket,60,0.4642857142857143
Coffee,global_mean,lime_mrseql,rocket,70,0.4642857142857143
Coffee,global_mean,lime_mrseql,rocket,80,0.4642857142857143
Coffee,global_mean,lime_mrseql,rocket,90,0.4642857142857143
Coffee,global_mean,lime_mrseql,rocket,100,0.4642857142857143
Coffee,global_mean,mrseql,rocket,0,1.0
Coffee,global_mean,mrseql,rocket,10,0.4642857142857143
Coffee,global_mean,mrseql,rocket,20,0.35714285714285715
Coffee,global_mean,mrseql,rocket,30,0.42857142857142855
Coffee,global_mean,mrseql,rocket,40,0.4642857142857143
Coffee,global_mean,mrseql,rocket,50,0.4642857142857143
Coffee,global_mean,mrseql,rocket,60,0.4642857142857143
Coffee,global_mean,mrseql,rocket,70,0.4642857142857143
Coffee,global_mean,mrseql,rocket,80,0.4642857142857143
Coffee,global_mean,mrseql,rocket,90,0.4642857142857143
Coffee,global_mean,mrseql,rocket,100,0.4642857142857143
Coffee,global_mean,cam,rocket,0,1.0
Coffee,global_mean,cam,rocket,10,0.4642857142857143
Coffee,global_mean,cam,rocket,20,0.4642857142857143
Coffee,global_mean,cam,rocket,30,0.42857142857142855
Coffee,global_mean,cam,rocket,40,0.4642857142857143
Coffee,global_mean,cam,rocket,50,0.4642857142857143
Coffee,global_mean,cam,rocket,60,0.4642857142857143
Coffee,global_mean,cam,rocket,70,0.4642857142857143
Coffee,global_mean,cam,rocket,80,0.4642857142857143
Coffee,global_mean,cam,rocket,90,0.4642857142857143
Coffee,global_mean,cam,rocket,100,0.4642857142857143
Coffee,global_mean,GS,rocket,0,1.0
Coffee,global_mean,GS,rocket,10,0.6785714285714286
Coffee,global_mean,GS,rocket,20,0.4642857142857143
Coffee,global_mean,GS,rocket,30,0.4642857142857143
Coffee,global_mean,GS,rocket,40,0.4642857142857143
Coffee,global_mean,GS,rocket,50,0.4642857142857143
Coffee,global_mean,GS,rocket,60,0.4642857142857143
Coffee,global_mean,GS,rocket,70,0.4642857142857143
Coffee,global_mean,GS,rocket,80,0.4642857142857143
Coffee,global_mean,GS,rocket,90,0.4642857142857143
Coffee,global_mean,GS,rocket,100,0.4642857142857143
Coffee,global_mean,IG,rocket,0,1.0
Coffee,global_mean,IG,rocket,10,0.4642857142857143
Coffee,global_mean,IG,rocket,20,0.4642857142857143
Coffee,global_mean,IG,rocket,30,0.4642857142857143
Coffee,global_mean,IG,rocket,40,0.4642857142857143
Coffee,global_mean,IG,rocket,50,0.4642857142857143
Coffee,global_mean,IG,rocket,60,0.4642857142857143
Coffee,global_mean,IG,rocket,70,0.4642857142857143
Coffee,global_mean,IG,rocket,80,0.4642857142857143
Coffee,global_mean,IG,rocket,90,0.4642857142857143
Coffee,global_mean,IG,rocket,100,0.4642857142857143
Coffee,global_mean,random2020,rocket,0,1.0
Coffee,global_mean,random2020,rocket,10,0.4642857142857143
Coffee,global_mean,random2020,rocket,20,0.4642857142857143
Coffee,global_mean,random2020,rocket,30,0.4642857142857143
Coffee,global_mean,random2020,rocket,40,0.4642857142857143
