dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
CMJ,local_mean,ridgecv,rocket,0,0.9664804469273743
CMJ,local_mean,ridgecv,rocket,10,0.9497206703910615
CMJ,local_mean,ridgecv,rocket,20,0.9217877094972067
CMJ,local_mean,ridgecv,rocket,30,0.9162011173184358
CMJ,local_mean,ridgecv,rocket,40,0.8044692737430168
CMJ,local_mean,ridgecv,rocket,50,0.664804469273743
CMJ,local_mean,ridgecv,rocket,60,0.441340782122905
CMJ,local_mean,ridgecv,rocket,70,0.30726256983240224
CMJ,local_mean,ridgecv,rocket,80,0.3128491620111732
CMJ,local_mean,ridgecv,rocket,90,0.3575418994413408
CMJ,local_mean,ridgecv,rocket,100,0.33519553072625696
CMJ,global_mean,ridgecv,rocket,0,0.9664804469273743
CMJ,global_mean,ridgecv,rocket,10,0.9217877094972067
CMJ,global_mean,ridgecv,rocket,20,0.8770949720670391
CMJ,global_mean,ridgecv,rocket,30,0.7877094972067039
CMJ,global_mean,ridgecv,rocket,40,0.6480446927374302
CMJ,global_mean,ridgecv,rocket,50,0.5921787709497207
CMJ,global_mean,ridgecv,rocket,60,0.5810055865921788
CMJ,global_mean,ridgecv,rocket,70,0.5418994413407822
CMJ,global_mean,ridgecv,rocket,80,0.5251396648044693
CMJ,global_mean,ridgecv,rocket,90,0.4972067039106145
CMJ,global_mean,ridgecv,rocket,100,0.33519553072625696
CMJ,global_gaussian,ridgecv,rocket,0,0.9664804469273743
CMJ,global_gaussian,ridgecv,rocket,10,0.9050279329608939
CMJ,global_gaussian,ridgecv,rocket,20,0.7541899441340782
CMJ,global_gaussian,ridgecv,rocket,30,0.5698324022346368
CMJ,global_gaussian,ridgecv,rocket,40,0.4581005586592179
CMJ,global_gaussian,ridgecv,rocket,50,0.35195530726256985
CMJ,global_gaussian,ridgecv,rocket,60,0.33519553072625696
CMJ,global_gaussian,ridgecv,rocket,70,0.33519553072625696
CMJ,global_gaussian,ridgecv,rocket,80,0.33519553072625696
CMJ,global_gaussian,ridgecv,rocket,90,0.33519553072625696
CMJ,global_gaussian,ridgecv,rocket,100,0.33519553072625696
CMJ,local_gaussian,ridgecv,rocket,0,0.9664804469273743
CMJ,local_gaussian,ridgecv,rocket,10,0.9329608938547486
CMJ,local_gaussian,ridgecv,rocket,20,0.8491620111731844
CMJ,local_gaussian,ridgecv,rocket,30,0.7318435754189944
CMJ,local_gaussian,ridgecv,rocket,40,0.6424581005586593
CMJ,local_gaussian,ridgecv,rocket,50,0.5810055865921788
CMJ,local_gaussian,ridgecv,rocket,60,0.5418994413407822
CMJ,local_gaussian,ridgecv,rocket,70,0.5027932960893855
CMJ,local_gaussian,ridgecv,rocket,80,0.40782122905027934
CMJ,local_gaussian,ridgecv,rocket,90,0.3128491620111732
CMJ,local_gaussian,ridgecv,rocket,100,0.2905027932960894
CMJ,local_mean,ridgecv,resnet,0,0.9162011173184358
CMJ,local_mean,ridgecv,resnet,10,0.888268156424581
CMJ,local_mean,ridgecv,resnet,20,0.8547486033519553
CMJ,local_mean,ridgecv,resnet,30,0.7318435754189944
CMJ,local_mean,ridgecv,resnet,40,0.5251396648044693
CMJ,local_mean,ridgecv,resnet,50,0.37988826815642457
CMJ,local_mean,ridgecv,resnet,60,0.35195530726256985
CMJ,local_mean,ridgecv,resnet,70,0.329608938547486
CMJ,local_mean,ridgecv,resnet,80,0.329608938547486
CMJ,local_mean,ridgecv,resnet,90,0.36312849162011174
CMJ,local_mean,ridgecv,resnet,100,0.329608938547486
CMJ,global_mean,ridgecv,resnet,0,0.9162011173184358
CMJ,global_mean,ridgecv,resnet,10,0.8715083798882681
CMJ,global_mean,ridgecv,resnet,20,0.7653631284916201
CMJ,global_mean,ridgecv,resnet,30,0.7206703910614525
CMJ,global_mean,ridgecv,resnet,40,0.6201117318435754
CMJ,global_mean,ridgecv,resnet,50,0.4860335195530726
CMJ,global_mean,ridgecv,resnet,60,0.43575418994413406
CMJ,global_mean,ridgecv,resnet,70,0.33519553072625696
CMJ,global_mean,ridgecv,resnet,80,0.329608938547486
CMJ,global_mean,ridgecv,resnet,90,0.329608938547486
CMJ,global_mean,ridgecv,resnet,100,0.329608938547486
CMJ,global_gaussian,ridgecv,resnet,0,0.9162011173184358
CMJ,global_gaussian,ridgecv,resnet,10,0.7541899441340782
CMJ,global_gaussian,ridgecv,resnet,20,0.6368715083798883
CMJ,global_gaussian,ridgecv,resnet,30,0.4860335195530726
CMJ,global_gaussian,ridgecv,resnet,40,0.43575418994413406
CMJ,global_gaussian,ridgecv,resnet,50,0.4022346368715084
CMJ,global_gaussian,ridgecv,resnet,60,0.3687150837988827
CMJ,global_gaussian,ridgecv,resnet,70,0.35195530726256985
