dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Coffee,local_gaussian,rocket-shap,resnet,90,0.39285714285714285
Coffee,local_gaussian,rocket-shap,resnet,100,0.39285714285714285
Coffee,local_mean,rocket-shap,knn,0,1.0
Coffee,local_mean,rocket-shap,knn,10,0.9285714285714286
Coffee,local_mean,rocket-shap,knn,20,0.8928571428571429
Coffee,local_mean,rocket-shap,knn,30,0.8214285714285714
Coffee,local_mean,rocket-shap,knn,40,0.8928571428571429
Coffee,local_mean,rocket-shap,knn,50,0.8571428571428571
Coffee,local_mean,rocket-shap,knn,60,0.8214285714285714
Coffee,local_mean,rocket-shap,knn,70,0.8214285714285714
Coffee,local_mean,rocket-shap,knn,80,0.8214285714285714
Coffee,local_mean,rocket-shap,knn,90,0.75
Coffee,local_mean,rocket-shap,knn,100,0.5357142857142857
Coffee,global_mean,rocket-shap,knn,0,1.0
Coffee,global_mean,rocket-shap,knn,10,0.5
Coffee,global_mean,rocket-shap,knn,20,0.5
Coffee,global_mean,rocket-shap,knn,30,0.5
Coffee,global_mean,rocket-shap,knn,40,0.6071428571428571
Coffee,global_mean,rocket-shap,knn,50,0.6428571428571429
Coffee,global_mean,rocket-shap,knn,60,0.42857142857142855
Coffee,global_mean,rocket-shap,knn,70,0.4642857142857143
Coffee,global_mean,rocket-shap,knn,80,0.25
Coffee,global_mean,rocket-shap,knn,90,0.21428571428571427
Coffee,global_mean,rocket-shap,knn,100,0.4642857142857143
Coffee,global_gaussian,rocket-shap,knn,0,1.0
Coffee,global_gaussian,rocket-shap,knn,10,0.5
Coffee,global_gaussian,rocket-shap,knn,20,0.5357142857142857
Coffee,global_gaussian,rocket-shap,knn,30,0.5357142857142857
Coffee,global_gaussian,rocket-shap,knn,40,0.6071428571428571
Coffee,global_gaussian,rocket-shap,knn,50,0.5357142857142857
Coffee,global_gaussian,rocket-shap,knn,60,0.42857142857142855
Coffee,global_gaussian,rocket-shap,knn,70,0.42857142857142855
Coffee,global_gaussian,rocket-shap,knn,80,0.32142857142857145
Coffee,global_gaussian,rocket-shap,knn,90,0.35714285714285715
Coffee,global_gaussian,rocket-shap,knn,100,0.39285714285714285
Coffee,local_gaussian,rocket-shap,knn,0,1.0
Coffee,local_gaussian,rocket-shap,knn,10,0.8571428571428571
Coffee,local_gaussian,rocket-shap,knn,20,0.7857142857142857
Coffee,local_gaussian,rocket-shap,knn,30,0.75
Coffee,local_gaussian,rocket-shap,knn,40,0.7857142857142857
Coffee,local_gaussian,rocket-shap,knn,50,0.6785714285714286
Coffee,local_gaussian,rocket-shap,knn,60,0.6428571428571429
Coffee,local_gaussian,rocket-shap,knn,70,0.5357142857142857
Coffee,local_gaussian,rocket-shap,knn,80,0.5714285714285714
Coffee,local_gaussian,rocket-shap,knn,90,0.5
Coffee,local_gaussian,rocket-shap,knn,100,0.42857142857142855
Coffee,local_mean,rocket-shap,MrSEQLClassifier,0,1.0
Coffee,local_mean,rocket-shap,MrSEQLClassifier,10,0.9642857142857143
Coffee,local_mean,rocket-shap,MrSEQLClassifier,20,0.9285714285714286
Coffee,local_mean,rocket-shap,MrSEQLClassifier,30,0.9285714285714286
Coffee,local_mean,rocket-shap,MrSEQLClassifier,40,0.8214285714285714
Coffee,local_mean,rocket-shap,MrSEQLClassifier,50,0.8214285714285714
Coffee,local_mean,rocket-shap,MrSEQLClassifier,60,0.6785714285714286
Coffee,local_mean,rocket-shap,MrSEQLClassifier,70,0.7142857142857143
Coffee,local_mean,rocket-shap,MrSEQLClassifier,80,0.5714285714285714
Coffee,local_mean,rocket-shap,MrSEQLClassifier,90,0.5357142857142857
Coffee,local_mean,rocket-shap,MrSEQLClassifier,100,0.5357142857142857
Coffee,global_mean,rocket-shap,MrSEQLClassifier,0,1.0
Coffee,global_mean,rocket-shap,MrSEQLClassifier,10,0.6428571428571429
Coffee,global_mean,rocket-shap,MrSEQLClassifier,20,0.6071428571428571
Coffee,global_mean,rocket-shap,MrSEQLClassifier,30,0.4642857142857143
Coffee,global_mean,rocket-shap,MrSEQLClassifier,40,0.4642857142857143
Coffee,global_mean,rocket-shap,MrSEQLClassifier,50,0.4642857142857143
Coffee,global_mean,rocket-shap,MrSEQLClassifier,60,0.4642857142857143
Coffee,global_mean,rocket-shap,MrSEQLClassifier,70,0.4642857142857143
Coffee,global_mean,rocket-shap,MrSEQLClassifier,80,0.4642857142857143
Coffee,global_mean,rocket-shap,MrSEQLClassifier,90,0.4642857142857143
Coffee,global_mean,rocket-shap,MrSEQLClassifier,100,0.4642857142857143
Coffee,global_gaussian,rocket-shap,MrSEQLClassifier,0,1.0
Coffee,global_gaussian,rocket-shap,MrSEQLClassifier,10,0.6428571428571429
Coffee,global_gaussian,rocket-shap,MrSEQLClassifier,20,0.6071428571428571
Coffee,global_gaussian,rocket-shap,MrSEQLClassifier,30,0.5
Coffee,global_gaussian,rocket-shap,MrSEQLClassifier,40,0.4642857142857143
Coffee,global_gaussian,rocket-shap,MrSEQLClassifier,50,0.4642857142857143
Coffee,global_gaussian,rocket-shap,MrSEQLClassifier,60,0.4642857142857143
Coffee,global_gaussian,rocket-shap,MrSEQLClassifier,70,0.4642857142857143
Coffee,global_gaussian,rocket-shap,MrSEQLClassifier,80,0.4642857142857143
Coffee,global_gaussian,rocket-shap,MrSEQLClassifier,90,0.4642857142857143
Coffee,global_gaussian,rocket-shap,MrSEQLClassifier,100,0.4642857142857143
