dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Coffee,local_mean,lime_mrseql,weasel,0.7910714285714285
Coffee,local_mean,mrseql,weasel,0.7589285714285714
Coffee,local_mean,cam,weasel,0.8589285714285714
Coffee,local_mean,GS,weasel,0.8125000000000001
Coffee,local_mean,IG,weasel,0.8160714285714287
Coffee,local_mean,lime_rocket,weasel,0.6839285714285713
Coffee,local_mean,random2020,weasel,0.9196428571428572
Coffee,global_mean,lime_mrseql,weasel,0.5196428571428572
Coffee,global_mean,mrseql,weasel,0.5839285714285714
Coffee,global_mean,cam,weasel,0.5053571428571428
Coffee,global_mean,GS,weasel,0.5303571428571429
Coffee,global_mean,IG,weasel,0.5053571428571428
Coffee,global_mean,lime_rocket,weasel,0.49464285714285716
Coffee,global_mean,random2020,weasel,0.4910714285714286
Coffee,global_gaussian,lime_mrseql,weasel,0.5089285714285714
Coffee,global_gaussian,mrseql,weasel,0.5732142857142857
Coffee,global_gaussian,cam,weasel,0.5125
Coffee,global_gaussian,GS,weasel,0.5303571428571429
Coffee,global_gaussian,IG,weasel,0.5053571428571428
Coffee,global_gaussian,lime_rocket,weasel,0.49464285714285716
Coffee,global_gaussian,random2020,weasel,0.4910714285714286
Coffee,local_gaussian,lime_mrseql,weasel,0.7589285714285713
Coffee,local_gaussian,mrseql,weasel,0.7303571428571429
Coffee,local_gaussian,cam,weasel,0.7303571428571428
Coffee,local_gaussian,GS,weasel,0.7339285714285714
Coffee,local_gaussian,IG,weasel,0.7482142857142857
Coffee,local_gaussian,lime_rocket,weasel,0.7303571428571428
Coffee,local_gaussian,random2020,weasel,0.7732142857142859
