dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
CMJ,local_mean,lime_mrseql,weasel,0.47262569832402235
CMJ,local_mean,mrseql,weasel,0.5251396648044694
CMJ,local_mean,cam,weasel,0.6217877094972069
CMJ,local_mean,GS,weasel,0.6581005586592179
CMJ,local_mean,IG,weasel,0.6284916201117319
CMJ,local_mean,lime_rocket,weasel,0.5553072625698324
CMJ,local_mean,random2020,weasel,0.6497206703910614
CMJ,global_mean,lime_mrseql,weasel,0.43798882681564244
CMJ,global_mean,mrseql,weasel,0.4681564245810056
CMJ,global_mean,cam,weasel,0.5743016759776536
CMJ,global_mean,GS,weasel,0.5787709497206703
CMJ,global_mean,IG,weasel,0.5569832402234636
CMJ,global_mean,lime_rocket,weasel,0.4793296089385475
CMJ,global_mean,random2020,weasel,0.5860335195530726
CMJ,global_gaussian,lime_mrseql,weasel,0.5418994413407822
CMJ,global_gaussian,mrseql,weasel,0.5379888268156425
CMJ,global_gaussian,cam,weasel,0.6441340782122905
CMJ,global_gaussian,GS,weasel,0.6737430167597765
CMJ,global_gaussian,IG,weasel,0.7027932960893856
CMJ,global_gaussian,lime_rocket,weasel,0.576536312849162
CMJ,global_gaussian,random2020,weasel,0.612290502793296
CMJ,local_gaussian,lime_mrseql,weasel,0.6248603351955307
CMJ,local_gaussian,mrseql,weasel,0.6164804469273744
CMJ,local_gaussian,cam,weasel,0.7181564245810056
CMJ,local_gaussian,GS,weasel,0.7594972067039106
CMJ,local_gaussian,IG,weasel,0.7768156424581005
CMJ,local_gaussian,lime_rocket,weasel,0.6756983240223464
CMJ,local_gaussian,random2020,weasel,0.7567039106145252
