dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
CMJ,global_mean,lime_rocket,rocket,0,0.9608938547486033
CMJ,global_mean,lime_rocket,rocket,10,0.6983240223463687
CMJ,global_mean,lime_rocket,rocket,20,0.5977653631284916
CMJ,global_mean,lime_rocket,rocket,30,0.553072625698324
CMJ,global_mean,lime_rocket,rocket,40,0.5195530726256983
CMJ,global_mean,lime_rocket,rocket,50,0.43575418994413406
CMJ,global_mean,lime_rocket,rocket,60,0.441340782122905
CMJ,global_mean,lime_rocket,rocket,70,0.4748603351955307
CMJ,global_mean,lime_rocket,rocket,80,0.4245810055865922
CMJ,global_mean,lime_rocket,rocket,90,0.3743016759776536
CMJ,global_mean,lime_rocket,rocket,100,0.33519553072625696
CMJ,local_mean,lime_rocket,rocket,0,0.9608938547486033
CMJ,local_mean,lime_rocket,rocket,10,0.8547486033519553
CMJ,local_mean,lime_rocket,rocket,20,0.7262569832402235
CMJ,local_mean,lime_rocket,rocket,30,0.659217877094972
CMJ,local_mean,lime_rocket,rocket,40,0.5418994413407822
CMJ,local_mean,lime_rocket,rocket,50,0.4692737430167598
CMJ,local_mean,lime_rocket,rocket,60,0.44692737430167595
CMJ,local_mean,lime_rocket,rocket,70,0.37988826815642457
CMJ,local_mean,lime_rocket,rocket,80,0.31843575418994413
CMJ,local_mean,lime_rocket,rocket,90,0.3128491620111732
CMJ,local_mean,lime_rocket,rocket,100,0.33519553072625696
CMJ,global_mean,lime_rocket,resnet,0,0.9162011173184358
CMJ,global_mean,lime_rocket,resnet,10,0.7821229050279329
CMJ,global_mean,lime_rocket,resnet,20,0.7150837988826816
CMJ,global_mean,lime_rocket,resnet,30,0.6424581005586593
CMJ,global_mean,lime_rocket,resnet,40,0.5307262569832403
CMJ,global_mean,lime_rocket,resnet,50,0.4301675977653631
CMJ,global_mean,lime_rocket,resnet,60,0.35195530726256985
CMJ,global_mean,lime_rocket,resnet,70,0.3407821229050279
CMJ,global_mean,lime_rocket,resnet,80,0.329608938547486
CMJ,global_mean,lime_rocket,resnet,90,0.329608938547486
CMJ,global_mean,lime_rocket,resnet,100,0.329608938547486
CMJ,local_mean,lime_rocket,resnet,0,0.9162011173184358
CMJ,local_mean,lime_rocket,resnet,10,0.8212290502793296
CMJ,local_mean,lime_rocket,resnet,20,0.8212290502793296
CMJ,local_mean,lime_rocket,resnet,30,0.7597765363128491
