dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
SmallMiddle_CAR,local_mean,lime_mrseql,rocket,0,1.0
SmallMiddle_CAR,local_mean,lime_mrseql,rocket,10,1.0
SmallMiddle_CAR,local_mean,lime_mrseql,rocket,20,0.93
SmallMiddle_CAR,local_mean,lime_mrseql,rocket,30,0.87
SmallMiddle_CAR,local_mean,lime_mrseql,rocket,40,0.8
SmallMiddle_CAR,local_mean,lime_mrseql,rocket,50,0.75
SmallMiddle_CAR,local_mean,lime_mrseql,rocket,60,0.7
SmallMiddle_CAR,local_mean,lime_mrseql,rocket,70,0.67
SmallMiddle_CAR,local_mean,lime_mrseql,rocket,80,0.64
SmallMiddle_CAR,local_mean,lime_mrseql,rocket,90,0.61
SmallMiddle_CAR,local_mean,lime_mrseql,rocket,100,0.58
SmallMiddle_CAR,local_mean,mrseql,rocket,0,1.0
SmallMiddle_CAR,local_mean,mrseql,rocket,10,1.0
SmallMiddle_CAR,local_mean,mrseql,rocket,20,0.95
SmallMiddle_CAR,local_mean,mrseql,rocket,30,0.82
SmallMiddle_CAR,local_mean,mrseql,rocket,40,0.81
SmallMiddle_CAR,local_mean,mrseql,rocket,50,0.8
SmallMiddle_CAR,local_mean,mrseql,rocket,60,0.76
SmallMiddle_CAR,local_mean,mrseql,rocket,70,0.72
SmallMiddle_CAR,local_mean,mrseql,rocket,80,0.64
SmallMiddle_CAR,local_mean,mrseql,rocket,90,0.59
SmallMiddle_CAR,local_mean,mrseql,rocket,100,0.58
SmallMiddle_CAR,local_mean,GS,rocket,0,1.0
SmallMiddle_CAR,local_mean,GS,rocket,10,1.0
SmallMiddle_CAR,local_mean,GS,rocket,20,0.97
SmallMiddle_CAR,local_mean,GS,rocket,30,0.66
SmallMiddle_CAR,local_mean,GS,rocket,40,0.6
SmallMiddle_CAR,local_mean,GS,rocket,50,0.59
SmallMiddle_CAR,local_mean,GS,rocket,60,0.58
SmallMiddle_CAR,local_mean,GS,rocket,70,0.58
SmallMiddle_CAR,local_mean,GS,rocket,80,0.58
SmallMiddle_CAR,local_mean,GS,rocket,90,0.58
SmallMiddle_CAR,local_mean,GS,rocket,100,0.58
SmallMiddle_CAR,local_mean,IG,rocket,0,1.0
SmallMiddle_CAR,local_mean,IG,rocket,10,1.0
SmallMiddle_CAR,local_mean,IG,rocket,20,0.98
SmallMiddle_CAR,local_mean,IG,rocket,30,0.65
SmallMiddle_CAR,local_mean,IG,rocket,40,0.6
SmallMiddle_CAR,local_mean,IG,rocket,50,0.58
SmallMiddle_CAR,local_mean,IG,rocket,60,0.58
SmallMiddle_CAR,local_mean,IG,rocket,70,0.58
SmallMiddle_CAR,local_mean,IG,rocket,80,0.58
SmallMiddle_CAR,local_mean,IG,rocket,90,0.58
SmallMiddle_CAR,local_mean,IG,rocket,100,0.58
SmallMiddle_CAR,local_mean,lime_rocket,rocket,0,1.0
SmallMiddle_CAR,local_mean,lime_rocket,rocket,10,1.0
SmallMiddle_CAR,local_mean,lime_rocket,rocket,20,0.8
SmallMiddle_CAR,local_mean,lime_rocket,rocket,30,0.7
SmallMiddle_CAR,local_mean,lime_rocket,rocket,40,0.63
SmallMiddle_CAR,local_mean,lime_rocket,rocket,50,0.58
SmallMiddle_CAR,local_mean,lime_rocket,rocket,60,0.58
SmallMiddle_CAR,local_mean,lime_rocket,rocket,70,0.58
SmallMiddle_CAR,local_mean,lime_rocket,rocket,80,0.58
SmallMiddle_CAR,local_mean,lime_rocket,rocket,90,0.58
SmallMiddle_CAR,local_mean,lime_rocket,rocket,100,0.58
SmallMiddle_CAR,local_mean,ridgecv,rocket,0,1.0
SmallMiddle_CAR,local_mean,ridgecv,rocket,10,1.0
SmallMiddle_CAR,local_mean,ridgecv,rocket,20,0.87
