dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
SmallMiddle_CAR,local_gaussian,rocket-shap,resnet,20,0.61
SmallMiddle_CAR,local_gaussian,rocket-shap,resnet,30,0.56
SmallMiddle_CAR,local_gaussian,rocket-shap,resnet,40,0.46
SmallMiddle_CAR,local_gaussian,rocket-shap,resnet,50,0.48
SmallMiddle_CAR,local_gaussian,rocket-shap,resnet,60,0.5
SmallMiddle_CAR,local_gaussian,rocket-shap,resnet,70,0.51
SmallMiddle_CAR,local_gaussian,rocket-shap,resnet,80,0.51
SmallMiddle_CAR,local_gaussian,rocket-shap,resnet,90,0.5
SmallMiddle_CAR,local_gaussian,rocket-shap,resnet,100,0.5
SmallMiddle_CAR,local_mean,rocket-shap,knn,0,1.0
SmallMiddle_CAR,local_mean,rocket-shap,knn,10,1.0
SmallMiddle_CAR,local_mean,rocket-shap,knn,20,1.0
SmallMiddle_CAR,local_mean,rocket-shap,knn,30,0.85
SmallMiddle_CAR,local_mean,rocket-shap,knn,40,0.58
SmallMiddle_CAR,local_mean,rocket-shap,knn,50,0.58
SmallMiddle_CAR,local_mean,rocket-shap,knn,60,0.58
SmallMiddle_CAR,local_mean,rocket-shap,knn,70,0.58
SmallMiddle_CAR,local_mean,rocket-shap,knn,80,0.58
SmallMiddle_CAR,local_mean,rocket-shap,knn,90,0.58
SmallMiddle_CAR,local_mean,rocket-shap,knn,100,0.58
SmallMiddle_CAR,global_mean,rocket-shap,knn,0,1.0
SmallMiddle_CAR,global_mean,rocket-shap,knn,10,1.0
SmallMiddle_CAR,global_mean,rocket-shap,knn,20,1.0
SmallMiddle_CAR,global_mean,rocket-shap,knn,30,1.0
SmallMiddle_CAR,global_mean,rocket-shap,knn,40,0.58
SmallMiddle_CAR,global_mean,rocket-shap,knn,50,0.58
SmallMiddle_CAR,global_mean,rocket-shap,knn,60,0.58
SmallMiddle_CAR,global_mean,rocket-shap,knn,70,0.58
SmallMiddle_CAR,global_mean,rocket-shap,knn,80,0.58
SmallMiddle_CAR,global_mean,rocket-shap,knn,90,0.58
SmallMiddle_CAR,global_mean,rocket-shap,knn,100,0.58
SmallMiddle_CAR,global_gaussian,rocket-shap,knn,0,1.0
SmallMiddle_CAR,global_gaussian,rocket-shap,knn,10,1.0
SmallMiddle_CAR,global_gaussian,rocket-shap,knn,20,0.99
SmallMiddle_CAR,global_gaussian,rocket-shap,knn,30,0.81
SmallMiddle_CAR,global_gaussian,rocket-shap,knn,40,0.52
SmallMiddle_CAR,global_gaussian,rocket-shap,knn,50,0.5
SmallMiddle_CAR,global_gaussian,rocket-shap,knn,60,0.52
SmallMiddle_CAR,global_gaussian,rocket-shap,knn,70,0.54
SmallMiddle_CAR,global_gaussian,rocket-shap,knn,80,0.51
SmallMiddle_CAR,global_gaussian,rocket-shap,knn,90,0.53
SmallMiddle_CAR,global_gaussian,rocket-shap,knn,100,0.53
SmallMiddle_CAR,local_gaussian,rocket-shap,knn,0,1.0
SmallMiddle_CAR,local_gaussian,rocket-shap,knn,10,1.0
SmallMiddle_CAR,local_gaussian,rocket-shap,knn,20,0.84
SmallMiddle_CAR,local_gaussian,rocket-shap,knn,30,0.71
SmallMiddle_CAR,local_gaussian,rocket-shap,knn,40,0.51
SmallMiddle_CAR,local_gaussian,rocket-shap,knn,50,0.51
SmallMiddle_CAR,local_gaussian,rocket-shap,knn,60,0.51
SmallMiddle_CAR,local_gaussian,rocket-shap,knn,70,0.53
SmallMiddle_CAR,local_gaussian,rocket-shap,knn,80,0.53
SmallMiddle_CAR,local_gaussian,rocket-shap,knn,90,0.53
SmallMiddle_CAR,local_gaussian,rocket-shap,knn,100,0.52
SmallMiddle_CAR,local_mean,rocket-shap,MrSEQLClassifier,0,1.0
SmallMiddle_CAR,local_mean,rocket-shap,MrSEQLClassifier,10,0.95
SmallMiddle_CAR,local_mean,rocket-shap,MrSEQLClassifier,20,0.51
SmallMiddle_CAR,local_mean,rocket-shap,MrSEQLClassifier,30,0.44
SmallMiddle_CAR,local_mean,rocket-shap,MrSEQLClassifier,40,0.41
SmallMiddle_CAR,local_mean,rocket-shap,MrSEQLClassifier,50,0.39
SmallMiddle_CAR,local_mean,rocket-shap,MrSEQLClassifier,60,0.4
SmallMiddle_CAR,local_mean,rocket-shap,MrSEQLClassifier,70,0.45
SmallMiddle_CAR,local_mean,rocket-shap,MrSEQLClassifier,80,0.48
SmallMiddle_CAR,local_mean,rocket-shap,MrSEQLClassifier,90,0.56
SmallMiddle_CAR,local_mean,rocket-shap,MrSEQLClassifier,100,0.58
SmallMiddle_CAR,global_mean,rocket-shap,MrSEQLClassifier,0,1.0
SmallMiddle_CAR,global_mean,rocket-shap,MrSEQLClassifier,10,0.94
SmallMiddle_CAR,global_mean,rocket-shap,MrSEQLClassifier,20,0.43
SmallMiddle_CAR,global_mean,rocket-shap,MrSEQLClassifier,30,0.42
SmallMiddle_CAR,global_mean,rocket-shap,MrSEQLClassifier,40,0.42
SmallMiddle_CAR,global_mean,rocket-shap,MrSEQLClassifier,50,0.42
SmallMiddle_CAR,global_mean,rocket-shap,MrSEQLClassifier,60,0.42
SmallMiddle_CAR,global_mean,rocket-shap,MrSEQLClassifier,70,0.42
SmallMiddle_CAR,global_mean,rocket-shap,MrSEQLClassifier,80,0.42
