dataset,noise_type,XAI_method,Referee,metrics: explanation_auc
Coffee,global_gaussian,lime_mrseql,rocket,0.4910714285714286
Coffee,global_gaussian,mrseql,rocket,0.4910714285714286
Coffee,global_gaussian,cam,rocket,0.4910714285714286
Coffee,global_gaussian,GS,rocket,0.4910714285714286
Coffee,global_gaussian,IG,rocket,0.4910714285714286
Coffee,global_gaussian,lime_rocket,rocket,0.4910714285714286
Coffee,global_gaussian,random2020,rocket,0.4910714285714286
Coffee,local_gaussian,lime_mrseql,rocket,0.775
Coffee,local_gaussian,mrseql,rocket,0.7035714285714285
Coffee,local_gaussian,cam,rocket,0.625
Coffee,local_gaussian,GS,rocket,0.7392857142857142
Coffee,local_gaussian,IG,rocket,0.7500000000000001
Coffee,local_gaussian,lime_rocket,rocket,0.6357142857142858
Coffee,local_gaussian,random2020,rocket,0.7928571428571428
Coffee,original_gaussian,lime_mrseql,rocket,1.0
Coffee,original_gaussian,mrseql,rocket,1.0
Coffee,original_gaussian,cam,rocket,1.0
Coffee,original_gaussian,GS,rocket,1.0
Coffee,original_gaussian,IG,rocket,1.0
Coffee,original_gaussian,lime_rocket,rocket,1.0
Coffee,original_gaussian,random2020,rocket,1.0
Coffee,global_gaussian,lime_mrseql,resnet,0.6714285714285715
Coffee,global_gaussian,mrseql,resnet,0.5428571428571428
Coffee,global_gaussian,cam,resnet,0.5642857142857142
Coffee,global_gaussian,GS,resnet,0.4714285714285714
Coffee,global_gaussian,IG,resnet,0.4
Coffee,global_gaussian,lime_rocket,resnet,0.7500000000000001
Coffee,global_gaussian,random2020,resnet,0.6035714285714285
Coffee,local_gaussian,lime_mrseql,resnet,0.6785714285714286
Coffee,local_gaussian,mrseql,resnet,0.5964285714285714
Coffee,local_gaussian,cam,resnet,0.525
Coffee,local_gaussian,GS,resnet,0.5535714285714286
Coffee,local_gaussian,IG,resnet,0.5678571428571428
Coffee,local_gaussian,lime_rocket,resnet,0.6607142857142857
Coffee,local_gaussian,random2020,resnet,0.7571428571428572
Coffee,original_gaussian,lime_mrseql,resnet,0.9660714285714286
Coffee,original_gaussian,mrseql,resnet,0.9839285714285715
Coffee,original_gaussian,cam,resnet,0.9982142857142857
Coffee,original_gaussian,GS,resnet,0.9946428571428572
Coffee,original_gaussian,IG,resnet,0.9982142857142857
Coffee,original_gaussian,lime_rocket,resnet,0.9946428571428572
Coffee,original_gaussian,random2020,resnet,0.9946428571428572
Coffee,global_gaussian,lime_mrseql,knn,0.5017857142857143
Coffee,global_gaussian,mrseql,knn,0.4839285714285714
Coffee,global_gaussian,cam,knn,0.4196428571428572
Coffee,global_gaussian,GS,knn,0.4125
Coffee,global_gaussian,IG,knn,0.43035714285714277
Coffee,global_gaussian,lime_rocket,knn,0.6839285714285713
Coffee,global_gaussian,random2020,knn,0.5874999999999999
Coffee,local_gaussian,lime_mrseql,knn,0.7
Coffee,local_gaussian,mrseql,knn,0.6607142857142857
Coffee,local_gaussian,cam,knn,0.682142857142857
Coffee,local_gaussian,GS,knn,0.7392857142857142
Coffee,local_gaussian,IG,knn,0.7107142857142856
Coffee,local_gaussian,lime_rocket,knn,0.7464285714285714
Coffee,local_gaussian,random2020,knn,0.8678571428571429
Coffee,original_gaussian,lime_mrseql,knn,0.9767857142857144
Coffee,original_gaussian,mrseql,knn,0.9803571428571429
Coffee,original_gaussian,cam,knn,0.9910714285714286
Coffee,original_gaussian,GS,knn,0.9767857142857144
Coffee,original_gaussian,IG,knn,0.9803571428571429
Coffee,original_gaussian,lime_rocket,knn,0.9732142857142858
Coffee,original_gaussian,random2020,knn,0.9696428571428573
Coffee,global_gaussian,lime_mrseql,MrSEQLClassifier,0.4910714285714286
Coffee,global_gaussian,mrseql,MrSEQLClassifier,0.4910714285714286
Coffee,global_gaussian,cam,MrSEQLClassifier,0.49464285714285716
Coffee,global_gaussian,GS,MrSEQLClassifier,0.6089285714285714
Coffee,global_gaussian,IG,MrSEQLClassifier,0.5910714285714285
Coffee,global_gaussian,lime_rocket,MrSEQLClassifier,0.4910714285714286
Coffee,global_gaussian,random2020,MrSEQLClassifier,0.5053571428571428
Coffee,local_gaussian,lime_mrseql,MrSEQLClassifier,0.5517857142857142
Coffee,local_gaussian,mrseql,MrSEQLClassifier,0.5482142857142857
Coffee,local_gaussian,cam,MrSEQLClassifier,0.6803571428571429
Coffee,local_gaussian,GS,MrSEQLClassifier,0.7053571428571428
Coffee,local_gaussian,IG,MrSEQLClassifier,0.7339285714285714
Coffee,local_gaussian,lime_rocket,MrSEQLClassifier,0.6517857142857142
Coffee,local_gaussian,random2020,MrSEQLClassifier,0.8446428571428571
Coffee,original_gaussian,lime_mrseql,MrSEQLClassifier,0.9660714285714287
Coffee,original_gaussian,mrseql,MrSEQLClassifier,0.9696428571428573
Coffee,original_gaussian,cam,MrSEQLClassifier,0.9910714285714286
Coffee,original_gaussian,GS,MrSEQLClassifier,0.9910714285714286
Coffee,original_gaussian,IG,MrSEQLClassifier,0.9875
Coffee,original_gaussian,lime_rocket,MrSEQLClassifier,0.9875
Coffee,original_gaussian,random2020,MrSEQLClassifier,0.9732142857142857
