dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Coffee,global_mean,lime_rocket,rocket,0,1.0
Coffee,global_mean,lime_rocket,rocket,10,0.4642857142857143
Coffee,global_mean,lime_rocket,rocket,20,0.4642857142857143
Coffee,global_mean,lime_rocket,rocket,30,0.4642857142857143
Coffee,global_mean,lime_rocket,rocket,40,0.4642857142857143
Coffee,global_mean,lime_rocket,rocket,50,0.4642857142857143
Coffee,global_mean,lime_rocket,rocket,60,0.4642857142857143
Coffee,global_mean,lime_rocket,rocket,70,0.4642857142857143
Coffee,global_mean,lime_rocket,rocket,80,0.4642857142857143
Coffee,global_mean,lime_rocket,rocket,90,0.5357142857142857
Coffee,global_mean,lime_rocket,rocket,100,0.5357142857142857
Coffee,local_mean,lime_rocket,rocket,0,1.0
Coffee,local_mean,lime_rocket,rocket,10,1.0
Coffee,local_mean,lime_rocket,rocket,20,1.0
Coffee,local_mean,lime_rocket,rocket,30,0.9642857142857143
Coffee,local_mean,lime_rocket,rocket,40,0.9642857142857143
Coffee,local_mean,lime_rocket,rocket,50,1.0
Coffee,local_mean,lime_rocket,rocket,60,0.9285714285714286
Coffee,local_mean,lime_rocket,rocket,70,0.8571428571428571
Coffee,local_mean,lime_rocket,rocket,80,0.7142857142857143
Coffee,local_mean,lime_rocket,rocket,90,0.5714285714285714
Coffee,local_mean,lime_rocket,rocket,100,0.5357142857142857
Coffee,global_mean,lime_rocket,resnet,0,0.9642857142857143
Coffee,global_mean,lime_rocket,resnet,10,0.8928571428571429
Coffee,global_mean,lime_rocket,resnet,20,1.0
Coffee,global_mean,lime_rocket,resnet,30,0.9642857142857143
Coffee,global_mean,lime_rocket,resnet,40,0.9642857142857143
Coffee,global_mean,lime_rocket,resnet,50,0.8928571428571429
Coffee,global_mean,lime_rocket,resnet,60,0.8571428571428571
Coffee,global_mean,lime_rocket,resnet,70,0.8571428571428571
Coffee,global_mean,lime_rocket,resnet,80,0.7142857142857143
Coffee,global_mean,lime_rocket,resnet,90,0.5714285714285714
Coffee,global_mean,lime_rocket,resnet,100,0.5357142857142857
Coffee,local_mean,lime_rocket,resnet,0,0.9642857142857143
Coffee,local_mean,lime_rocket,resnet,10,0.9642857142857143
Coffee,local_mean,lime_rocket,resnet,20,1.0
Coffee,local_mean,lime_rocket,resnet,30,0.9642857142857143
Coffee,local_mean,lime_rocket,resnet,40,0.9642857142857143
Coffee,local_mean,lime_rocket,resnet,50,0.8928571428571429
Coffee,local_mean,lime_rocket,resnet,60,0.8571428571428571
Coffee,local_mean,lime_rocket,resnet,70,0.8571428571428571
Coffee,local_mean,lime_rocket,resnet,80,0.7142857142857143
Coffee,local_mean,lime_rocket,resnet,90,0.5714285714285714
Coffee,local_mean,lime_rocket,resnet,100,0.5357142857142857
Coffee,global_mean,lime_rocket,knn,0,1.0
Coffee,global_mean,lime_rocket,knn,10,0.6785714285714286
Coffee,global_mean,lime_rocket,knn,20,0.7857142857142857
