dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
CMJ,global_gaussian,lime_mrseql,rocket,0,0.9608938547486033
CMJ,global_gaussian,lime_mrseql,rocket,10,0.7150837988826816
CMJ,global_gaussian,lime_mrseql,rocket,20,0.5698324022346368
CMJ,global_gaussian,lime_mrseql,rocket,30,0.48044692737430167
CMJ,global_gaussian,lime_mrseql,rocket,40,0.40782122905027934
CMJ,global_gaussian,lime_mrseql,rocket,50,0.3687150837988827
CMJ,global_gaussian,lime_mrseql,rocket,60,0.3407821229050279
CMJ,global_gaussian,lime_mrseql,rocket,70,0.3407821229050279
CMJ,global_gaussian,lime_mrseql,rocket,80,0.33519553072625696
CMJ,global_gaussian,lime_mrseql,rocket,90,0.33519553072625696
CMJ,global_gaussian,lime_mrseql,rocket,100,0.33519553072625696
CMJ,global_gaussian,mrseql,rocket,0,0.9608938547486033
CMJ,global_gaussian,mrseql,rocket,10,0.6536312849162011
CMJ,global_gaussian,mrseql,rocket,20,0.5363128491620112
CMJ,global_gaussian,mrseql,rocket,30,0.43575418994413406
CMJ,global_gaussian,mrseql,rocket,40,0.41899441340782123
CMJ,global_gaussian,mrseql,rocket,50,0.3743016759776536
CMJ,global_gaussian,mrseql,rocket,60,0.35195530726256985
CMJ,global_gaussian,mrseql,rocket,70,0.33519553072625696
CMJ,global_gaussian,mrseql,rocket,80,0.33519553072625696
CMJ,global_gaussian,mrseql,rocket,90,0.33519553072625696
CMJ,global_gaussian,mrseql,rocket,100,0.33519553072625696
CMJ,global_gaussian,cam,rocket,0,0.9608938547486033
CMJ,global_gaussian,cam,rocket,10,0.9217877094972067
CMJ,global_gaussian,cam,rocket,20,0.6927374301675978
CMJ,global_gaussian,cam,rocket,30,0.5363128491620112
CMJ,global_gaussian,cam,rocket,40,0.4134078212290503
CMJ,global_gaussian,cam,rocket,50,0.3407821229050279
CMJ,global_gaussian,cam,rocket,60,0.33519553072625696
CMJ,global_gaussian,cam,rocket,70,0.33519553072625696
CMJ,global_gaussian,cam,rocket,80,0.33519553072625696
CMJ,global_gaussian,cam,rocket,90,0.33519553072625696
CMJ,global_gaussian,cam,rocket,100,0.33519553072625696
CMJ,global_gaussian,GS,rocket,0,0.9608938547486033
CMJ,global_gaussian,GS,rocket,10,0.9329608938547486
CMJ,global_gaussian,GS,rocket,20,0.7821229050279329
CMJ,global_gaussian,GS,rocket,30,0.5977653631284916
CMJ,global_gaussian,GS,rocket,40,0.4748603351955307
CMJ,global_gaussian,GS,rocket,50,0.3743016759776536
CMJ,global_gaussian,GS,rocket,60,0.3407821229050279
CMJ,global_gaussian,GS,rocket,70,0.33519553072625696
CMJ,global_gaussian,GS,rocket,80,0.33519553072625696
CMJ,global_gaussian,GS,rocket,90,0.33519553072625696
CMJ,global_gaussian,GS,rocket,100,0.33519553072625696
CMJ,global_gaussian,IG,rocket,0,0.9608938547486033
CMJ,global_gaussian,IG,rocket,10,0.9273743016759777
CMJ,global_gaussian,IG,rocket,20,0.8212290502793296
CMJ,global_gaussian,IG,rocket,30,0.6480446927374302
CMJ,global_gaussian,IG,rocket,40,0.5307262569832403
CMJ,global_gaussian,IG,rocket,50,0.37988826815642457
CMJ,global_gaussian,IG,rocket,60,0.3407821229050279
CMJ,global_gaussian,IG,rocket,70,0.33519553072625696
CMJ,global_gaussian,IG,rocket,80,0.33519553072625696
CMJ,global_gaussian,IG,rocket,90,0.33519553072625696
CMJ,global_gaussian,IG,rocket,100,0.33519553072625696
CMJ,global_gaussian,lime_rocket,rocket,0,0.9608938547486033
CMJ,global_gaussian,lime_rocket,rocket,10,0.7374301675977654
CMJ,global_gaussian,lime_rocket,rocket,20,0.5810055865921788
CMJ,global_gaussian,lime_rocket,rocket,30,0.4860335195530726
CMJ,global_gaussian,lime_rocket,rocket,40,0.39664804469273746
CMJ,global_gaussian,lime_rocket,rocket,50,0.37988826815642457
CMJ,global_gaussian,lime_rocket,rocket,60,0.35195530726256985
CMJ,global_gaussian,lime_rocket,rocket,70,0.3407821229050279
CMJ,global_gaussian,lime_rocket,rocket,80,0.33519553072625696
CMJ,global_gaussian,lime_rocket,rocket,90,0.33519553072625696
CMJ,global_gaussian,lime_rocket,rocket,100,0.33519553072625696
CMJ,global_gaussian,random2020,rocket,0,0.9608938547486033
CMJ,global_gaussian,random2020,rocket,10,0.6703910614525139
CMJ,global_gaussian,random2020,rocket,20,0.6424581005586593
CMJ,global_gaussian,random2020,rocket,30,0.553072625698324
CMJ,global_gaussian,random2020,rocket,40,0.45251396648044695
CMJ,global_gaussian,random2020,rocket,50,0.39106145251396646
CMJ,global_gaussian,random2020,rocket,60,0.3575418994413408
CMJ,global_gaussian,random2020,rocket,70,0.35195530726256985
CMJ,global_gaussian,random2020,rocket,80,0.33519553072625696
CMJ,global_gaussian,random2020,rocket,90,0.33519553072625696
CMJ,global_gaussian,random2020,rocket,100,0.33519553072625696
CMJ,local_gaussian,lime_mrseql,rocket,0,0.9608938547486033
CMJ,local_gaussian,lime_mrseql,rocket,10,0.7877094972067039
CMJ,local_gaussian,lime_mrseql,rocket,20,0.6089385474860335
CMJ,local_gaussian,lime_mrseql,rocket,30,0.5642458100558659
CMJ,local_gaussian,lime_mrseql,rocket,40,0.5251396648044693
CMJ,local_gaussian,lime_mrseql,rocket,50,0.5083798882681564
CMJ,local_gaussian,lime_mrseql,rocket,60,0.4748603351955307
CMJ,local_gaussian,lime_mrseql,rocket,70,0.43575418994413406
CMJ,local_gaussian,lime_mrseql,rocket,80,0.4245810055865922
CMJ,local_gaussian,lime_mrseql,rocket,90,0.35195530726256985
CMJ,local_gaussian,lime_mrseql,rocket,100,0.30726256983240224
CMJ,local_gaussian,mrseql,rocket,0,0.9608938547486033
CMJ,local_gaussian,mrseql,rocket,10,0.7821229050279329
CMJ,local_gaussian,mrseql,rocket,20,0.6145251396648045
CMJ,local_gaussian,mrseql,rocket,30,0.5083798882681564
CMJ,local_gaussian,mrseql,rocket,40,0.5083798882681564
CMJ,local_gaussian,mrseql,rocket,50,0.5195530726256983
CMJ,local_gaussian,mrseql,rocket,60,0.5139664804469274
CMJ,local_gaussian,mrseql,rocket,70,0.4581005586592179
CMJ,local_gaussian,mrseql,rocket,80,0.43575418994413406
CMJ,local_gaussian,mrseql,rocket,90,0.3463687150837989
CMJ,local_gaussian,mrseql,rocket,100,0.30726256983240224
CMJ,local_gaussian,cam,rocket,0,0.9608938547486033
CMJ,local_gaussian,cam,rocket,10,0.9441340782122905
CMJ,local_gaussian,cam,rocket,20,0.8603351955307262
CMJ,local_gaussian,cam,rocket,30,0.6703910614525139
CMJ,local_gaussian,cam,rocket,40,0.6201117318435754
CMJ,local_gaussian,cam,rocket,50,0.5642458100558659
CMJ,local_gaussian,cam,rocket,60,0.5418994413407822
CMJ,local_gaussian,cam,rocket,70,0.48044692737430167
CMJ,local_gaussian,cam,rocket,80,0.45251396648044695
CMJ,local_gaussian,cam,rocket,90,0.4134078212290503
CMJ,local_gaussian,cam,rocket,100,0.30726256983240224
CMJ,local_gaussian,GS,rocket,0,0.9608938547486033
CMJ,local_gaussian,GS,rocket,10,0.9385474860335196
CMJ,local_gaussian,GS,rocket,20,0.888268156424581
CMJ,local_gaussian,GS,rocket,30,0.8100558659217877
CMJ,local_gaussian,GS,rocket,40,0.6759776536312849
CMJ,local_gaussian,GS,rocket,50,0.6033519553072626
CMJ,local_gaussian,GS,rocket,60,0.5418994413407822
CMJ,local_gaussian,GS,rocket,70,0.5363128491620112
CMJ,local_gaussian,GS,rocket,80,0.4748603351955307
CMJ,local_gaussian,GS,rocket,90,0.40782122905027934
CMJ,local_gaussian,GS,rocket,100,0.30726256983240224
CMJ,local_gaussian,IG,rocket,0,0.9608938547486033
CMJ,local_gaussian,IG,rocket,10,0.9217877094972067
CMJ,local_gaussian,IG,rocket,20,0.8994413407821229
CMJ,local_gaussian,IG,rocket,30,0.8212290502793296
CMJ,local_gaussian,IG,rocket,40,0.7039106145251397
CMJ,local_gaussian,IG,rocket,50,0.6033519553072626
CMJ,local_gaussian,IG,rocket,60,0.5642458100558659
CMJ,local_gaussian,IG,rocket,70,0.553072625698324
CMJ,local_gaussian,IG,rocket,80,0.46368715083798884
CMJ,local_gaussian,IG,rocket,90,0.3743016759776536
CMJ,local_gaussian,IG,rocket,100,0.30726256983240224
CMJ,local_gaussian,lime_rocket,rocket,0,0.9608938547486033
CMJ,local_gaussian,lime_rocket,rocket,10,0.8770949720670391
CMJ,local_gaussian,lime_rocket,rocket,20,0.664804469273743
CMJ,local_gaussian,lime_rocket,rocket,30,0.5921787709497207
CMJ,local_gaussian,lime_rocket,rocket,40,0.5642458100558659
CMJ,local_gaussian,lime_rocket,rocket,50,0.5083798882681564
CMJ,local_gaussian,lime_rocket,rocket,60,0.5139664804469274
CMJ,local_gaussian,lime_rocket,rocket,70,0.44692737430167595
CMJ,local_gaussian,lime_rocket,rocket,80,0.39664804469273746
CMJ,local_gaussian,lime_rocket,rocket,90,0.3687150837988827
CMJ,local_gaussian,lime_rocket,rocket,100,0.30726256983240224
CMJ,local_gaussian,random2020,rocket,0,0.9608938547486033
CMJ,local_gaussian,random2020,rocket,10,0.7988826815642458
CMJ,local_gaussian,random2020,rocket,20,0.6480446927374302
CMJ,local_gaussian,random2020,rocket,30,0.6368715083798883
CMJ,local_gaussian,random2020,rocket,40,0.6145251396648045
CMJ,local_gaussian,random2020,rocket,50,0.5921787709497207
CMJ,local_gaussian,random2020,rocket,60,0.5810055865921788
CMJ,local_gaussian,random2020,rocket,70,0.5139664804469274
CMJ,local_gaussian,random2020,rocket,80,0.4748603351955307
CMJ,local_gaussian,random2020,rocket,90,0.39664804469273746
CMJ,local_gaussian,random2020,rocket,100,0.30726256983240224
CMJ,original_gaussian,lime_mrseql,rocket,0,0.9608938547486033
CMJ,original_gaussian,lime_mrseql,rocket,10,0.9720670391061452
CMJ,original_gaussian,lime_mrseql,rocket,20,0.9664804469273743
CMJ,original_gaussian,lime_mrseql,rocket,30,0.8659217877094972
CMJ,original_gaussian,lime_mrseql,rocket,40,0.7877094972067039
CMJ,original_gaussian,lime_mrseql,rocket,50,0.7150837988826816
CMJ,original_gaussian,lime_mrseql,rocket,60,0.6759776536312849
CMJ,original_gaussian,lime_mrseql,rocket,70,0.664804469273743
