dataset,XAI_method,average_scaled_auc,scaled_ranking,explanation_power
SonyAIBORobotSurface1,Int Gradient,0.37008,0.20043,0.79957
SonyAIBORobotSurface1,MrSEQL-LIME,0.69774,0.79030,0.20970
SonyAIBORobotSurface1,ROCKET-LIME,0.52262,0.47505,0.52495
SonyAIBORobotSurface1,MrSEQL-SM,0.81422,1.00000,0.00000
SonyAIBORobotSurface1,MrSEQL-SHAP,0.63419,0.67591,0.32409
SonyAIBORobotSurface1,Random,0.68392,0.76542,0.23458
SonyAIBORobotSurface1,RidgeCV-SM,0.35119,0.16643,0.83357
SonyAIBORobotSurface1,ROCKET-SHAP,0.25874,0.00000,1.00000
SonyAIBORobotSurface2,GradientSHAP,0.04024,0.00865,0.99135
SonyAIBORobotSurface2,Int Gradient,0.03255,0.00000,1.00000
SonyAIBORobotSurface2,MrSEQL-LIME,0.51966,0.54771,0.45229
SonyAIBORobotSurface2,ROCKET-LIME,0.55559,0.58811,0.41189
SonyAIBORobotSurface2,MrSEQL-SM,0.92191,1.00000,0.00000
SonyAIBORobotSurface2,MrSEQL-SHAP,0.59695,0.63461,0.36539
SonyAIBORobotSurface2,Random,0.63965,0.68263,0.31737
SonyAIBORobotSurface2,RidgeCV-SM,0.41827,0.43370,0.56630
SonyAIBORobotSurface2,ROCKET-SHAP,0.19542,0.18313,0.81687
Strawberry,GradientSHAP,0.50189,0.58875,0.41125
Strawberry,Int Gradient,0.49249,0.57084,0.42916
Strawberry,MrSEQL-LIME,0.23912,0.08783,0.91217
Strawberry,ROCKET-LIME,0.37182,0.34080,0.65920
Strawberry,MrSEQL-SM,0.35163,0.30231,0.69769
Strawberry,MrSEQL-SHAP,0.19305,0.00000,1.00000
Strawberry,Random,0.37790,0.35240,0.64760
Strawberry,RidgeCV-SM,0.71761,1.00000,0.00000
Strawberry,ROCKET-SHAP,0.50786,0.60015,0.39985
Trace,GradientSHAP,0.65109,0.75488,0.24512
Trace,Int Gradient,0.68315,0.79411,0.20589
Trace,MrSEQL-LIME,0.22333,0.23151,0.76849
Trace,ROCKET-LIME,0.63668,0.73725,0.26275
Trace,MrSEQL-SM,0.71756,0.83621,0.16379
Trace,MrSEQL-SHAP,0.03411,0.00000,1.00000
Trace,Random,0.57868,0.66628,0.33372
Trace,RidgeCV-SM,0.85143,1.00000,0.00000
Trace,ROCKET-SHAP,0.20226,0.20574,0.79426
TwoLeadECG,GradientSHAP,0.65366,0.82948,0.17052
TwoLeadECG,Int Gradient,0.64831,0.82233,0.17767
TwoLeadECG,MrSEQL-LIME,0.44941,0.55669,0.44331
TwoLeadECG,ROCKET-LIME,0.47888,0.59605,0.40395
TwoLeadECG,MrSEQL-SM,0.74185,0.94726,0.05274
TwoLeadECG,MrSEQL-SHAP,0.09185,0.07915,0.92085
TwoLeadECG,Random,0.48608,0.60566,0.39434
TwoLeadECG,RidgeCV-SM,0.78134,1.00000,0.00000
TwoLeadECG,ROCKET-SHAP,0.03258,0.00000,1.00000
TwoPatterns,GradientSHAP,0.24092,0.14169,0.85831
TwoPatterns,Int Gradient,0.24455,0.14580,0.85420
TwoPatterns,MrSEQL-LIME,0.20901,0.10561,0.89439
TwoPatterns,ROCKET-LIME,0.16230,0.05280,0.94720
TwoPatterns,MrSEQL-SM,0.22596,0.12478,0.87522
TwoPatterns,MrSEQL-SHAP,0.26241,0.16599,0.83401
TwoPatterns,Random,1.00000,1.00000,0.00000
TwoPatterns,RidgeCV-SM,0.53864,0.47833,0.52167
TwoPatterns,ROCKET-SHAP,0.11561,0.00000,1.00000
CMJ,GradientSHAP,0.78817,0.94060,0.05940
CMJ,Int Gradient,0.83224,1.00000,0.00000
CMJ,MrSEQL-LIME,0.09879,0.01166,0.98834
CMJ,ROCKET-LIME,0.41714,0.44064,0.55936
CMJ,MrSEQL-SM,0.16321,0.09847,0.90153
CMJ,MrSEQL-SHAP,0.09013,0.00000,1.00000
CMJ,Random,0.65615,0.76271,0.23729
CMJ,RidgeCV-SM,0.60543,0.69436,0.30564
CMJ,ROCKET-SHAP,0.20969,0.16111,0.83889
